Index,Height(Inches),Weight(Pounds),Height_m,Weight_kg,BMI
71,65.27,129.31,1.6578579999999998,58.65398152,21.34
124,68.94,135.29,1.751076,61.36646167999999,20.01
65,70.81,135.32,1.798574,61.38006944,18.97
45,65.98,106.45,1.675892,48.2848684,17.19
164,68.38,119.9,1.7368519999999998,54.3856808,18.03
29,66.53,108.33,1.689862,49.13762136,17.21
41,68.57,124.36,1.7416779999999998,56.40870112,18.6
109,69.44,128.42,1.7637759999999998,58.25028464,18.72
156,64.13,106.11,1.628902,48.13064712,18.14
157,70.98,158.96,1.802892,72.10298432,22.18
26,67.21,129.72,1.7071339999999997,58.83995424,20.19
24,68.42,129.5,1.737868,58.740164,19.45
185,66.23,141.16,1.682242,64.02904672,22.63
148,64.5,112.89,1.6383,51.20600088,19.08
82,66.78,121.9,1.696212,55.2928648,19.22
40,64.05,106.71,1.6268699999999998,48.40280232,18.29
169,67.19,126.95,1.706626,57.5835044,19.77
48,67.7,116.82,1.71958,52.98861744,17.92
95,70.06,133.46,1.779524,60.53638832,19.12
155,72.44,136.74,1.839976,62.024170080000005,18.32
44,67.97,137.37,1.726438,62.30993304,20.91
139,73.9,151.39,1.87706,68.66929287999999,19.49
4,68.22,142.34,1.732788,64.56428528000001,21.5
106,68.02,123.49,1.7277079999999998,56.01407608,18.77
54,69.1,115.71,1.7551399999999997,52.48513032,17.04
134,64.4,123.79,1.63576,56.15015368,20.99
181,67.11,135.02,1.704594,61.24399184000001,21.08
179,65.98,121.49,1.675892,55.10689208,19.62
186,65.96,129.15,1.6753839999999998,58.5814068,20.87
50,69.09,134.93,1.754886,61.20316856,19.87
81,68.64,134.63,1.743456,61.06709096,20.09
35,71.8,140.1,1.82372,63.5482392,19.11
8,70.01,136.46,1.778254,61.89716432,19.57
111,67.72,122.06,1.7200879999999998,55.36543952,18.71
92,70.24,141.49,1.784096,64.17873208,20.16
84,66.28,128.94,1.683512,58.48615248,20.64
177,66.89,123.04,1.699006,55.809959680000006,19.33
182,65.87,116.23,1.673098,52.72099816,18.83
90,68.23,131.51,1.733042,59.65188392,19.86
9,67.9,112.37,1.72466,50.97013304,17.14
14,67.12,122.46,1.704848,55.54687632,19.11
60,67.54,133.81,1.715516,60.69514552,20.62
172,67.97,124.21,1.726438,56.34066232,18.9
132,71.23,130.7,1.809242,59.28447439999999,18.11
18,68.65,142.97,1.74371,64.85004823999999,21.33
73,69.92,140.4,1.775968,63.684316800000005,20.19
176,66.81,104.83,1.696974,47.55004936,16.51
135,71.1,128.14,1.80594,58.12327888,17.82
168,66.29,124.8,1.683766,56.6082816,19.97
184,68.74,124.22,1.745996,56.34519824,18.48
64,67.01,128.82,1.702054,58.43172144,20.17
55,65.38,123.49,1.6606519999999998,56.01407608,20.31
108,66.31,126.48,1.684274,57.37031616,20.22
51,69.91,147.02,1.7757139999999998,66.68709584,21.15
197,66.11,115.78,1.679194,52.51688176,18.63
59,66.36,119.37,1.685544,54.14527704,19.06
49,69.82,143.62,1.7734279999999998,65.14488304,20.71
89,70.18,121.12,1.782572,54.93906304,17.29
22,68.88,143.54,1.7495519999999998,65.10859568,21.27
58,66.54,128.07,1.6901160000000002,58.09152743999999,20.34
161,67.08,146.29,1.7038319999999998,66.35597367999999,22.86
193,67.46,132.86,1.7134839999999998,60.26423312000001,20.53
130,70.24,133.98,1.784096,60.77225616,19.09
38,67.66,121.23,1.7185639999999998,54.98895816,18.62
158,67.5,108.79,1.7145,49.34627368,16.79
194,67.41,146.34,1.712214,66.37865328,22.64
2,71.52,136.49,1.816608,61.91077208,18.76
53,70.27,125.48,1.7848579999999998,56.91672416,17.87
150,68.89,137.76,1.749806,62.48683392,20.41
131,68.27,132.58,1.734058,60.13722736,20.0
152,67.4,138.47,1.71196,62.80888424,21.43
104,65.61,98.64,1.666494,44.74231488,16.11
100,68.89,115.48,1.749806,52.38080416,17.11
117,68.81,132.68,1.747774,60.18258656,19.7
88,70.09,131.59,1.780286,59.68817128,18.83
75,68.25,128.52,1.73355,58.29564384,19.4
122,67.21,109.01,1.7071339999999997,49.44606392,16.97
200,71.39,127.88,1.813306,58.00534496,17.64
21,67.83,141.28,1.7228819999999998,64.08347776,21.59
189,66.97,127.65,1.7010379999999998,57.9010188,20.01
72,70.84,134.02,1.799336,60.790399840000006,18.78
107,67.66,123.05,1.7185639999999998,55.8144956,18.9
15,68.28,116.09,1.734312,52.65749528,17.51
93,71.49,140.61,1.815846,63.77957112000001,19.34
180,66.58,119.25,1.691132,54.090846,18.91
103,68.35,134.18,1.7360899999999997,60.862974560000005,20.19
